Home_Team,Home_Score,Away_Team,Away_Score,MatchDay
Alavés,1,Valencia,1,27
SD Eibar,1,RCD Mallorca,2,27
Atlético Madrid,2,Sevilla FC,2,27
FC Barcelona,1,Real Sociedad,0,27
Getafe,0,Celta de Vigo,0,27
CA Osasuna,1,Espanyol,0,27
Real Valladolid,1,Athletic,4,27
Levante,1,Granada CF,1,27
Villarreal,1,CD Leganés,2,27
Real Betis,2,Real Madrid,1,27
Sevilla FC,2,Real Betis,0,28
Granada CF,2,Getafe,1,28
Valencia,1,Levante,1,28
Espanyol,2,Alavés,0,28
Celta de Vigo,0,Villarreal,1,28
CD Leganés,1,Real Valladolid,2,28
RCD Mallorca,0,FC Barcelona,4,28
Athletic,1,Atlético Madrid,1,28
Real Madrid,3,SD Eibar,1,28
Real Sociedad,1,CA Osasuna,1,28
Levante,1,Sevilla FC,1,29
Real Betis,2,Granada CF,2,29
Getafe,0,Espanyol,0,29
Villarreal,1,RCD Mallorca,0,29
FC Barcelona,2,CD Leganés,0,29
SD Eibar,2,Athletic,2,29
Real Valladolid,0,Celta de Vigo,0,29
CA Osasuna,0,Atlético Madrid,5,29
Alavés,2,Real Sociedad,0,29
Real Madrid,3,Valencia,0,29
Granada CF,0,Villarreal,1,30
RCD Mallorca,1,CD Leganés,1,30
Sevilla FC,0,FC Barcelona,0,30
Espanyol,1,Levante,3,30
Athletic,1,Real Betis,0,30
Getafe,1,SD Eibar,1,30
Atlético Madrid,1,Real Valladolid,0,30
Celta de Vigo,6,Alavés,0,30
Valencia,2,CA Osasuna,0,30
Real Sociedad,1,Real Madrid,2,30
Villarreal,2,Sevilla FC,2,31
CD Leganés,0,Granada CF,0,31
Levante,0,Atlético Madrid,1,31
Real Valladolid,1,Getafe,1,31
FC Barcelona,1,Athletic,0,31
Alavés,0,CA Osasuna,1,31
Real Sociedad,0,Celta de Vigo,1,31
Real Madrid,2,RCD Mallorca,0,31
SD Eibar,1,Valencia,0,31
Real Betis,1,Espanyol,0,31
Sevilla FC,1,Real Valladolid,1,32
Athletic,3,RCD Mallorca,1,32
Celta de Vigo,2,FC Barcelona,2,32
CA Osasuna,2,CD Leganés,1,32
Atlético Madrid,2,Alavés,1,32
Levante,4,Real Betis,2,32
Villarreal,2,Valencia,0,32
Granada CF,1,SD Eibar,2,32
Espanyol,0,Real Madrid,1,32
Getafe,2,Real Sociedad,1,32
