Home_Team,Home_Score,Away_Team,Away_Score,MatchDay
Union Berlin,2,Bay. Leverkusen,3,22
F. Düsseldorf,1,Bor. M'gladbach,4,22
1. FC Köln,1,Bayern Munich,4,22
1.FSV Mainz 05,0,FC Schalke 04,0,22
Bayern Munich,3,SC Paderborn,2,23
Bor. M'gladbach,1,TSG Hoffenheim,1,23
Werder Bremen,0,Bor. Dortmund,2,23
Hertha BSC,0,1. FC Köln,5,23
SC Freiburg,0,F. Düsseldorf,2,23
FC Schalke 04,0,RB Leipzig,5,23
Bay. Leverkusen,2,FC Augsburg,0,23
VfL Wolfsburg,4,1.FSV Mainz 05,0,23
E. Frankfurt,1,Union Berlin,2,23
F. Düsseldorf,3,Hertha BSC,3,24
Bor. Dortmund,1,SC Freiburg,0,24
TSG Hoffenheim,0,Bayern Munich,6,24
1.FSV Mainz 05,2,SC Paderborn,0,24
FC Augsburg,2,Bor. M'gladbach,3,24
1. FC Köln,3,FC Schalke 04,0,24
Union Berlin,2,VfL Wolfsburg,2,24
RB Leipzig,1,Bay. Leverkusen,1,24
Werder Bremen,0,E. Frankfurt,3,24
SC Paderborn,1,1. FC Köln,2,25
Bay. Leverkusen,4,E. Frankfurt,0,25
VfL Wolfsburg,0,RB Leipzig,0,25
Hertha BSC,2,Werder Bremen,2,25
SC Freiburg,3,Union Berlin,1,25
FC Schalke 04,1,TSG Hoffenheim,1,25
Bor. M'gladbach,1,Bor. Dortmund,2,25
Bayern Munich,2,FC Augsburg,0,25
1.FSV Mainz 05,1,F. Düsseldorf,1,25
Bor. Dortmund,4,FC Schalke 04,0,26
RB Leipzig,1,SC Freiburg,1,26
TSG Hoffenheim,0,Hertha BSC,3,26
F. Düsseldorf,0,SC Paderborn,0,26
FC Augsburg,1,VfL Wolfsburg,2,26
E. Frankfurt,1,Bor. M'gladbach,3,26
1. FC Köln,2,1.FSV Mainz 05,2,26
Union Berlin,0,Bayern Munich,2,26
Werder Bremen,1,Bay. Leverkusen,4,26
Hertha BSC,4,Union Berlin,0,27
Bor. M'gladbach,1,Bay. Leverkusen,3,27
VfL Wolfsburg,0,Bor. Dortmund,2,27
SC Freiburg,0,Werder Bremen,1,27
SC Paderborn,1,TSG Hoffenheim,1,27
Bayern Munich,5,E. Frankfurt,2,27
FC Schalke 04,0,FC Augsburg,3,27
1.FSV Mainz 05,0,RB Leipzig,5,27
1. FC Köln,2,F. Düsseldorf,2,27
Bor. Dortmund,0,Bayern Munich,1,28
Bay. Leverkusen,1,VfL Wolfsburg,4,28
E. Frankfurt,3,SC Freiburg,3,28
Werder Bremen,0,Bor. M'gladbach,0,28
RB Leipzig,2,Hertha BSC,2,28
TSG Hoffenheim,3,1. FC Köln,1,28
F. Düsseldorf,2,FC Schalke 04,1,28
FC Augsburg,0,SC Paderborn,0,28
Union Berlin,1,1.FSV Mainz 05,1,28
SC Freiburg,0,Bay. Leverkusen,1,29
FC Schalke 04,0,Werder Bremen,1,29
VfL Wolfsburg,1,E. Frankfurt,2,29
Hertha BSC,2,FC Augsburg,0,29
1.FSV Mainz 05,0,TSG Hoffenheim,1,29
Bayern Munich,5,F. Düsseldorf,0,29
Bor. M'gladbach,4,Union Berlin,1,29
SC Paderborn,1,Bor. Dortmund,6,29
1. FC Köln,2,RB Leipzig,4,29
SC Freiburg,1,Bor. M'gladbach,0,30
RB Leipzig,1,SC Paderborn,1,30
Bay. Leverkusen,2,Bayern Munich,4,30
E. Frankfurt,0,1.FSV Mainz 05,2,30
F. Düsseldorf,2,TSG Hoffenheim,2,30
Bor. Dortmund,1,Hertha BSC,0,30
Werder Bremen,0,VfL Wolfsburg,1,30
Union Berlin,1,FC Schalke 04,1,30
FC Augsburg,1,1. FC Köln,1,30
TSG Hoffenheim,0,RB Leipzig,2,31
VfL Wolfsburg,2,SC Freiburg,2,31
F. Düsseldorf,0,Bor. Dortmund,1,31
Hertha BSC,1,E. Frankfurt,4,31
1. FC Köln,1,Union Berlin,2,31
SC Paderborn,1,Werder Bremen,5,31
Bayern Munich,2,Bor. M'gladbach,1,31
1.FSV Mainz 05,0,FC Augsburg,1,31
FC Schalke 04,1,Bay. Leverkusen,1,31
Bor. M'gladbach,3,VfL Wolfsburg,0,32
Werder Bremen,0,Bayern Munich,1,32
SC Freiburg,2,Hertha BSC,1,32
Union Berlin,1,SC Paderborn,0,32
E. Frankfurt,2,FC Schalke 04,1,32
Bor. Dortmund,0,1.FSV Mainz 05,2,32
RB Leipzig,2,F. Düsseldorf,2,32
Bay. Leverkusen,3,1. FC Köln,1,32
FC Augsburg,1,TSG Hoffenheim,3,32
Bayern Munich,3,SC Freiburg,1,33
RB Leipzig,0,Bor. Dortmund,2,33
TSG Hoffenheim,4,Union Berlin,0,33
F. Düsseldorf,1,FC Augsburg,1,33
Hertha BSC,2,Bay. Leverkusen,0,33
1.FSV Mainz 05,3,Werder Bremen,1,33
FC Schalke 04,1,VfL Wolfsburg,4,33
1. FC Köln,1,E. Frankfurt,1,33
SC Paderborn,1,Bor. M'gladbach,3,33
Bor. Dortmund,0,TSG Hoffenheim,4,34
Bay. Leverkusen,1,1.FSV Mainz 05,0,34
Bor. M'gladbach,2,Hertha BSC,1,34
VfL Wolfsburg,0,Bayern Munich,4,34
E. Frankfurt,3,SC Paderborn,2,34
Werder Bremen,6,1. FC Köln,1,34
SC Freiburg,4,FC Schalke 04,0,34
FC Augsburg,1,RB Leipzig,2,34
Union Berlin,3,F. Düsseldorf,0,34
