Home_Team,Home_Score,Away_Team,Away_Score,MatchDay
Bologna,1,Sassuolo,2,31
SPAL,0,Udinese Calcio,3,31
Hellas Verona,2,Inter,2,31
Lazio,1,Sassuolo,2,32
Brescia,0,AS Roma,3,32
Juventus,2,Atalanta,2,32
Genoa,2,SPAL,0,32
Parma,2,Bologna,2,32
Fiorentina,1,Hellas Verona,1,32
Cagliari Calcio,0,Lecce,0,32
Udinese Calcio,1,Sampdoria,3,32
SSC Napoli,2,AC Milan,2,32
Inter,3,Torino,1,32
Atalanta,6,Brescia,2,33
Sampdoria,3,Cagliari Calcio,0,33
Bologna,1,SSC Napoli,1,33
AC Milan,3,Parma,1,33
Lecce,1,Fiorentina,3,33
AS Roma,2,Hellas Verona,1,33
Sassuolo,3,Juventus,3,33
Udinese Calcio,0,Lazio,0,33
Torino,3,Genoa,0,33
SPAL,0,Inter,4,33
Hellas Verona,1,Atalanta,1,34
Cagliari Calcio,1,Sassuolo,1,34
AC Milan,5,Bologna,1,34
Parma,2,Sampdoria,3,34
Genoa,2,Lecce,1,34
Brescia,2,SPAL,1,34
Fiorentina,2,Torino,0,34
SSC Napoli,2,Udinese Calcio,1,34
AS Roma,2,Inter,2,34
Juventus,2,Lazio,1,34
Atalanta,1,Bologna,0,35
Sassuolo,1,AC Milan,2,35
Parma,2,SSC Napoli,1,35
Lecce,3,Brescia,1,35
Inter,0,Fiorentina,0,35
Sampdoria,1,Genoa,2,35
Torino,1,Hellas Verona,1,35
SPAL,1,AS Roma,6,35
Udinese Calcio,2,Juventus,1,35
Lazio,2,Cagliari Calcio,1,35
AC Milan,1,Atalanta,1,36
Brescia,1,Parma,2,36
Genoa,0,Inter,3,36
SSC Napoli,2,Sassuolo,0,36
Bologna,3,Lecce,2,36
AS Roma,2,Fiorentina,1,36
Hellas Verona,1,Lazio,5,36
SPAL,1,Torino,1,36
Cagliari Calcio,0,Udinese Calcio,1,36
Juventus,2,Sampdoria,0,36
Parma,1,Atalanta,2,37
Inter,2,SSC Napoli,0,37
Lazio,2,Brescia,0,37
Sassuolo,5,Genoa,0,37
Udinese Calcio,1,Lecce,2,37
Sampdoria,1,AC Milan,4,37
Hellas Verona,3,SPAL,0,37
Fiorentina,4,Bologna,0,37
Cagliari Calcio,2,Juventus,0,37
Torino,2,AS Roma,3,37
Brescia,1,Sampdoria,1,38
AC Milan,3,Cagliari Calcio,0,38
Atalanta,0,Inter,2,38
SSC Napoli,3,Lazio,1,38
Juventus,1,AS Roma,3,38
SPAL,1,Fiorentina,3,38
Genoa,3,Hellas Verona,0,38
Lecce,3,Parma,4,38
Bologna,1,Torino,1,38
Sassuolo,0,Udinese Calcio,1,38
